Sentence,Case_Name,Transcript_Date,Sentence_Annotated,Sentence_Date_Normalized,Document_Date,Anchor_Date,Anchor_Date_Type,Annotator_Source
"And, Your Honor, I would like to state, as it relates to the next portion here, what we do is we walk him through some of the grievances that Mr. Hill filed, some that were sent to him, and it's going to be the basis for why he requested a second opinion.",Hill,2022-05-17 00:00:00,"And, Your Honor, I would like to state, as it relates to the next portion here, what we do is we walk  him  through  some  of  the  grievances  that  Mr.  Hill  filed, some  that  were  sent  to  him,  and  it's  going  to  be  the  basis for  why  he  requested  a  second  opinion.",,,,,EJG
109/3 through 10.,Hill,2022-05-17 00:00:00,109/3 through 10.,,,,,EJG
"Line 20 to line 4: ""Do you know why it is that she responded to this instead of a member of the jail staff?""",Hill,2022-05-17 00:00:00,"Line 20 to line 4: ""Do you know why it is that she responded to this instead of a member of the jail staff?""",,,,,EJG
"128 through 20, excluded.",Hill,2022-05-17 00:00:00,"128 through 20, excluded.",,,,,EJG
"Really, 10 through 16 first, and then 10 through 16 is just, there's no answer to a question.",Hill,2022-05-17 00:00:00,"Really, 10 through 16 first, and then  10 through 16 is just, there's no answer to a question.",,,,,EJG
"I'm going to allow it from so, in fairness, he's already filled out so 146/23 to 147, I'm going to say through 2, is allowed.",Hill,2022-05-17 00:00:00,"I'm going to allow it from  so, in fairness, he's already filled out  so 146/23 to 147, I'm going to say through 2, is allowed.",,,,,EJG
It was our motion in limine 12.,Hill,2022-05-17 00:00:00,It was our motion in limine 12.,,,,,EJG
Four through 15.,Hill,2022-05-17 00:00:00,Four through 15.,,,,,EJG
"We didn't see that they were produced, so I think you know, I think we've got the four factor test in play related to Rule 26 and whether the balancing test favors allowing them in or exclusion.",Hill,2022-05-17 00:00:00,"We didn't see that they were produced, so I think  you know, I think we've got the four factor test in play related to Rule 26 and whether the balancing test favors allowing them in or exclusion.",,,,,EJG
They're going to see him in August of 2020 in his video deposition.,Hill,2022-05-17 00:00:00,They're going to see him in xxxAugust of 2020xxx in his video deposition.,2020-08-01 00:00:00,,,,EJG
"So what we want to do here and why this picture is important and really should be noncontroversial, Lady Smith is going to testify today.",Hill,2022-05-17 00:00:00,"So what we want to do here and why this picture is important and really should be noncontroversial, Lady Smith is going to testify xxxtodayxxx.",2022-05-17 00:00:00,,,trans,EJG
I think she'll testify this was taken on the 5th or 6th of April.,Hill,2022-05-17 00:00:00,I think she'll testify this was taken on the xxx5th or 6th of Aprilxxx.,"XXXX-04-05,,,XXXX-04-06",,,,EJG
And Mr. Eckenrode could have made a bigger stir about this in in limine so we could have addressed this a month ago or at least a few weeks ago.,Hill,2022-05-17 00:00:00,And Mr. Eckenrode could have made a bigger stir about this in in limine so we could have addressed this xxxa month agoxxx or yyyat least a few weeks agoyyy.,"XXXX-XX-XX/-P1M,,,XXXX-XX-XX/-PXW",,2022-05-17;; 2022-05-17,,Consensus
You've got one approximately a week before?,Hill,2022-05-17 00:00:00,You've got one xxxapproximately a week beforexxx?,XXXX-XX-XX/-P1W,,,,EJG
Could you please pull up Plaintiff's 61.,Hill,2022-05-17 00:00:00,Could you please pull up Plaintiff's 61.,,,,,EJG
"For the record, Your Honor, this is an agreed-upon exhibit that's dated New Year's Eve, so 12/31/2019.",Hill,2022-05-17 00:00:00,"For the record, Your Honor, this is an agreed-upon exhibit that's dated xxxNew Year's Eve, so 12/31/2019xxx.","XXXX-12-31,,,2019-12-31","2019-12-31---2019-12-31,,,2019-12-31---NA",,internal_coref,Consensus
"Today, his name is associated with a lie, a false statement uttered by his former wife, the defendant, Amber Heard, that falsely cast Mr. Depp, falsely and unfairly characterized, cast Mr. Depp as a villain, a man who would violently abuse a woman.",Depp,2022-04-12 00:00:00,"xxxTodayxxx, his name is associated with a lie, a false statement uttered by his former wife, the defendant, Amber Heard, that falsely cast Mr. Depp, falsely and unfairly characterized, cast Mr. Depp as a villain, a man who would violently abuse a woman.",2022-04-12 00:00:00,,,trans,EJG
"And the op-ed was published, and this is no accident, the evidence will show, on the eve of her first major acting role in the movie ""Aquaman.""",Depp,2022-04-12 00:00:00,"And the op-ed was published, and this is no accident, the evidence will show, on the eve of her first major acting role in the movie ""Aquaman.""",,,,,EJG
"So, on May 21st, Mr. Depp came by the apartment that he shared with Ms. Heard in the Eastern Columbia Building or the ECB, as some people refer to it, to tell her that, to pick up his things, and to say goodbye.",Depp,2022-04-12 00:00:00,"So, on xxxMay 21stxxx, Mr. Depp came by the apartment that he shared with Ms. Heard in the Eastern Columbia Building or the ECB, as some people refer to it, to tell her that, to pick up his things, and to say goodbye.",XXXX-05-21,,2016-05-21,coref,EJG
You will hear from the police officers who responded to a 911 call on May 21st after Mr. Depp left.,Depp,2022-04-12 00:00:00,You will hear from the police officers who responded to a 911 call on xxxMay 21stxxx after Mr. Depp left.,XXXX-05-21,,2016-05-21,coref,EJG
"And the evidence will show that, two years later, which is why we're pointing to that, that reference in the op-ed, in the wake of the #MeToo movement, and just before the release of Ms. Heard's role in the movie ""Aquaman,"" Ms. Heard chose to remind the world about the festering allegations, this time under the banner of a national, international newspaper, ""The Washington Post.""",Depp,2022-04-12 00:00:00,"And the evidence will show that, xxxtwo years laterxxx, which is why we're pointing to that, that reference in the op-ed, in the wake of the #MeToo movement, and just before the release of Ms. Heard's role in the movie ""Aquaman,"" Ms. Heard chose to remind the world about the festering allegations, this time under the banner of a national, international newspaper, ""The Washington Post.""",XXXX-XX-XX/+P2Y,,2016-05-27,line_49390,EJG
"And to tell you more about that, I am going to turn it over to my colleague, Camille Vasquez, who you had the pleasure of meeting yesterday.",Depp,2022-04-12 00:00:00,"And to tell you more about that, I am going to turn it over to my colleague, Camille Vasquez, who you had the pleasure of meeting xxxyesterdayxxx.",2022-04-11 00:00:00,,2022-04-12,trans,EJG
"And what she said happened was that it was a three-day hostage affair, an episode, where she was violently attacked and then sexually assaulted by Mr. Depp.",Depp,2022-04-12 00:00:00,"And what she said happened was that it was xxxa three-dayxxx hostage affair, an episode, where she was violently attacked and then sexually assaulted by Mr. Depp.",P3D,,,,EJG
"But ultimately, what this case is about, is about the First Amendment, about that December 18th, 2018 op-ed piece, and whether Ms. Heard's freedom of speech and the First Amendment give her the right to say the words that she said.",Depp,2022-04-12 00:00:00,"But ultimately, what this case is about, is about the First Amendment, about that xxxDecember 18th, 2018xxx op-ed piece, and whether Ms. Heard's freedom of speech and the First Amendment give her the right to say the words that she said.",2018-12-18 00:00:00,,,,EJG
"For months, I rarely left my apartment, and when I did, I was pursued by camera drones and photographers on foot, on motorcycles, and in cars.",Depp,2022-04-12 00:00:00,"For xxxmonthsxxx, I rarely left my apartment, and when I did, I was pursued by camera drones and photographers on foot, on motorcycles, and in cars.",PXM,,,,EJG
"It's certainly disturbing, but it's not surprising, because the evidence will show that, for years, all Mr. Depp has wanted to do is humiliate Amber, to haunt her, to wreck her career.",Depp,2022-04-12 00:00:00,"It's certainly disturbing, but it's not surprising, because the evidence will show that, for xxxyearsxxx, all Mr. Depp has wanted to do is humiliate Amber, to haunt her, to wreck her career.",PXY,,,,Consensus
"You'll hear evidence that, two years before the op-ed, two years before that, Mr. Depp brought someone else into his life who helped convince him to blame other people.",Depp,2022-04-12 00:00:00,"You'll hear evidence that, xxxtwo yearsxxx before the op-ed, yyytwo yearsyyy before that, Mr. Depp brought someone else into his life who helped convince him to blame other people.","XXXX-XX-XX/-P2Y,,,XXXX-XX-XX/-P2Y",,2018-12-18;; 2018-12-19,,EJG
"The evidence will actually show that months before the op-ed, it was reported that Disney was considering dropping him from Pirates 6.",Depp,2022-04-12 00:00:00,"The evidence will actually show that xxxmonthsxxx before the op-ed, it was reported that Disney was considering dropping him from Pirates 6.",XXXX-XX-XX/-PXM,,2018-12-19,,EJG
"Ms. Heard took that on her iPad, and it was one day when she was in the kitchen with Mr. Depp, and it was February 10th, 2016.",Depp,2022-04-12 00:00:00,"Ms. Heard took that on her iPad, and it was xxxone dayxxx when she was in the kitchen with Mr. Depp, and it was yyyFebruary 10th, 2016yyy.","XXXX-XX-XX,,,2016-02-10",,2016-02-10,internal cored,EJG
That's the list of the medications he takes in one day that they prescribe.,Depp,2022-04-12 00:00:00,That's the list of the medications he takes in xxxone dayxxx that they prescribe.,R1D,,,,Consensus
"Her mother, Paige, who died 2 years ago at age 63, dropped out of medical school to marry Amber's father.",Depp,2022-04-12 00:00:00,"Her mother, Paige, who died xxx2 years agoxxx at yyyage 63yyy, dropped out of medical school to marry Amber's father.","2022-04-12/-P2Y,,,P63Y",,2022-04-12,trans,EJG
