Sentences,Date
"IN ADDITION TO THAT, JOSEPH BRITTON, WHEN HE WAS INTERVIEWED ON CBS EVENING NEWS ON OCTOBER 12, AND WE APPENDED TO OUR BRIEF A COPY OF THAT SCRIPT, INDICATED THAT HE CAN'T SAY THAT DETECTIVE FUHRMAN MOVED ANY EVIDENCE, MOVED THAT KNIFE, AND THE ALLEGATION WITH REGARD TO THAT IS THAT JOSEPH BRITTON CLAIMS HE THREW THE KNIFE WHEN HE WAS RUNNING AND IT WAS MOVED FROM THE LOCATION WHERE HE THREW IT TO HIS FEET.",1/13/1995
THE OFFICERS INVOLVED IN THE SHOOTING FOUND IT AT HIS FEET WHEN HE DROPPED IT AFTER HAVING BEEN SHOT.,1/13/1995
"BUT JOSEPH BRITTON ON CBS EVENING NEWS INDICATED TO THE COUNTRY THAT HE COULDN'T SAY THAT DETECTIVE FUHRMAN DID THAT, NOR COULD HE SAY THAT DETECTIVE FUHRMAN MADE A RACIST REMARK TO HIM.",1/13/1995
SO WHERE IS THE EVIDENCE THAT THE DEFENSE WOULD HAVE TO SEEK TO IMPEACH IN THIS REGARD?,1/13/1995
"IT APPEARS TO US, YOUR HONOR, THAT THE DEFENSE IS JUST ATTEMPTING TO INQUIRE INTO THESE THINGS TO CAST A SUSPICION, TO RAISE REASONABLE DOUBT, WHEN THERE REALLY IS NOTHING BEHIND IT AND NOTHING TO SUPPORT IT.",1/13/1995
ALL RIGHT.,1/13/1995
"THERE IS A LOT OF AREAS FOR THE COURT OF COURSE TO CONSIDER UNDER SECTION 352, AND I WOULD LIKE TO GO OVER THEM INDIVIDUALLY.",1/13/1995
"ONE OF THOSE AREAS THAT THE COURT HAS TO CONSIDER IS WHETHER PUTTING ON ALL THIS COLLATERAL EVIDENCE WOULD NECESSITATE AN UNDUE CONSUMPTION OF THE COURT'S TIME, AND IT WOULD WITH REGARD TO EACH OF THESE INCIDENTS.",1/13/1995
"WITH REGARD TO THE CITY-HIRED PSYCHIATRIST, THERE WOULD BE EXTENSIVE -- ASSUMING THAT THE DEFENSE CAN EVEN REPRESENT THAT THEY ARE WILLING AND ABLE TO TESTIFY, THERE WOULD OF COURSE BE EXTENSIVE EXAMINATION OF THEM.",1/13/1995
"THE PEOPLE, THE PROSECUTION MIGHT CHOOSE TO CALL DETECTIVE FUHRMAN'S PSYCHIATRIST WHO INTERVIEWED HIM BACK IN THE SAME TIME PERIOD AND WE WOULD OPEN A WHOLE AREA OF INQUIRY WHICH IS TOTALLY INAPPROPRIATE, TOTALLY INAPPROPRIATE TO THE ISSUES BEFORE THIS JURY WITH REGARD TO WHETHER OR NOT THE DEFENDANT COMMITTED THE MURDERS OF THESE TWO VICTIMS.",1/13/1995
IF KATHLEEN BELL TESTIFIES OF COURSE WE WILL PUT ON THE MARINES WHO REFUTE HER TESTIMONY.,1/13/1995
ALL OF THAT TAKES AN UNDUE CONSUMPTION OF TIME.,1/13/1995
"AND OF COURSE IF JOSEPH BRITTON TESTIFIES HE WILL BE IMPEACHED WITH THESE AREAS I HAVE JUST INDICATED, HIS STATEMENT BEFORE THE COUNTRY ON THE NATIONAL NEWS THAT HE CAN'T SAY MARK FUHRMAN MOVED ANY EVIDENCE AND THAT HE CAN'T SAY MARK FUHRMAN MADE ANY RACIAL SLUR, BECAUSE HE DIDN'T.",1/13/1995
"IN ADDITION, WE WOULD SEEK TO IMPEACH JOSEPH BRITTON WITH HIS -- WITH BOTH OF HIS ROBBERY CONVICTIONS, THE ATTEMPTED CONVICTION, AS WELL AS THE OTHER ROBBERY CONVICTION, SO THAT WOULD NECESSITATE A CASTRO HEARING WITH REGARD TO THAT HEARING.",1/13/1995
"IN ADDITION, YOUR HONOR, WERE THE DEFENSE SUCCESSFUL IN ALL OF THIS REGARD, THE PEOPLE, THE PROSECUTION WOULD LIKELY PUT ON CHARACTER EVIDENCE IN SUPPORT OF DETECTIVE FUHRMAN, VARIOUS AFRICAN AMERICANS, THE AFRICAN AMERICAN SERGEANT AND AFRICAN AMERICAN DETECTIVE WITH WHOM HE REGULARLY PLAYS BASKETBALL AND NUMEROUS OTHER AFRICAN AMERICANS WHO KNOW MARK FUHRMAN WELL AND KNOW THAT HE IS NOT A RACIST AND WOULD NOT MAKE THESE KIND OF RACIAL SLURS THAT THE DEFENSE IS ALLEGING THAT HE MADE MANY YEARS AGO.",1/13/1995
"ANOTHER AREA, AND THE -- AN OBVIOUS AREA IN THIS PARTICULAR INSTANCE WITH REGARD TO THESE THREE AREAS FOR THE COURT TO CONSIDER IS THE REMOTENESS OF THE EVIDENCE AND THAT IS WHAT REALLY BRINGS HOME THE LACK OF PROBATIVE VALUE IN THESE AREAS IN PARTICULAR.",1/13/1995
"THAT WORKERS COMPENSATION LAWSUIT WAS FOURTEEN YEARS AGO, 1981, FOURTEEN YEARS AGO NOW.",1/13/1995
"ONE OF THE DOCTOR'S LETTERS IS IN 1982, THIRTEEN YEARS AGO.",1/13/1995
THAT EVIDENCE IS EXTREMELY REMOTE.,1/13/1995
"THE KATHLEEN BELL ALLEGATION THAT DETECTIVE FUHRMAN IS THE ONE WHO HEARD THESE SUPPOSED REMARKS THAT CAUSED HER TO CRY RATHER THAN BECOME ANGRY, THAT ALLEGATION HAPPENED SHE SAYS IN 1985 OR 1986.",1/13/1995
THAT WAS EIGHT OR NINE YEARS AGO.,1/13/1995
"THE JOSEPH BRITTON ATTEMPTED ARMED ROBBERY HAPPENED EIGHT YEARS AGO, SO ALL OF THESE AREAS ARE EXTREMELY REMOTE WHEN IT COMES TO CREDIBILITY.",1/13/1995
"NOW, IN THIS REGARD, AS THE COURT KNOWS, THE LEGISLATURE, IN ENACTING THE PITCHESS STATUTES, MADE A DETERMINATION OF A FIVE-YEAR CUT OFF FOR POLICE OFFICER PERSONNEL FILES TO BE DISCOVERABLE TO THE DEFENSE AND THEY SAID BASICALLY THAT THE POLICE DEPARTMENT NEED NOT MAINTAIN PERSONNEL FILES OF A POLICE OFFICER BEYOND FIVE YEARS BECAUSE AT THAT POINT IN TIME ANYTHING WITHIN THEM IS NO LONGER RELEVANT, EVEN FOR DISCOVERY PURPOSES.",1/13/1995
"AND THE COURT OF APPEAL, IN THE CASE CITED IN OUR BRIEF, CITY AND COUNTY OF SAN FRANCISCO, I BELIEVE, HELD THAT -- HELD THAT THE LEGISLATURE DETERMINED THAT AS A MATTER OF LAW THAT BEYOND FIVE YEARS IS NOT RELEVANT.",1/13/1995
"SO THIS ATTEMPT BY THE DEFENSE, SHOULD THEY ATTEMPT CROSS-EXAMINATION ON THIS -- IN THIS AREA -- ON ANY OF THESE AREAS, IS REALLY AN ATTEMPT TO GET AROUND WHAT IS ALMOST AND CAN ALMOST BE CONSIDERED A STATUTE OF LIMITATIONS IN THE PITCHESS AREA: NOW, YOUR HONOR, THE THREE AREAS WHICH WE HAVE ADDRESSED ARE THOSE THAT THIS MOTION SPECIFICALLY ADDRESSES.",1/13/1995
"WE ALSO, AS PART OF THIS MOTION, WOULD ASK THE COURT TO PRECLUDE THE DEFENSE FROM ASKING DETECTIVE FUHRMAN WHETHER HE HARBORS RACIAL HOSTILITY TOWARD AFRICAN AMERICANS.",1/13/1995
"OF COURSE IF THAT WERE ALLOWED, WHAT THIS MOTION SEEKS TO DO IS PRECLUDE THEM FROM IMPEACHING WITH THESE AREAS THAT WE HAVE DESCRIBED IN OUR BRIEF, BUT THAT AREA OF INQUIRY ITSELF IS SO INCREDIBLY VOLATILE, YOUR HONOR, AND IS SO REMOTE FROM ANY OF THE ISSUES AT THIS TRIAL THAT ITS PREJUDICIAL EFFECT FAR OUTWEIGHS ANY PROBATIVE VALUE, BECAUSE AS I INDICATED, DETECTIVE FUHRMAN IS NOT GOING TO BE TESTIFYING WITH REGARD TO THESE OTHER AREAS WHICH THE DEFENSE SEEMS TO FEEL HIS CREDIBILITY IS AT ISSUE ON.",1/13/1995
"IT IS NOT, BECAUSE HE WILL NOT BE TESTIFYING THERE.",1/13/1995
"IN REGARD TO WHETHER THE DEFENSE SHOULD BE ALLOWED TO INQUIRE INTO THAT AREA, ALTHOUGH IT WAS NOT CONTAINED WITHIN THE DEFENSE RESPONSE BRIEF, I DO FEEL AN OBLIGATION, AS AN OFFICER OF THE COURT, TO MAKE THE COURT AWARE OF A CASE CALLED IN RE ANTHONY P. IT IS A 1985 COURT OF APPEAL CASE AT 167 CAL.APP.3D 502.",1/13/1995
"IN THAT CASE, YOUR HONOR, THERE WAS A 17-YEAR OLD AFRICAN AMERICAN DEFENDANT, A 15-YEAR OLD WHITE VICTIM.",1/13/1995
THERE WAS A PETITION SUSTAINED AGAINST THAT AFRICAN AMERICAN JUVENILE FOR A CHILD MOLESTATION AND BATTERY.,1/13/1995
IN THAT CASE THE DEFENDANT AND THE VICTIM WENT TO THE SAME HIGH SCHOOL.,1/13/1995
THE DETECTIVE TESTIFIED THAT THE DEFENDANT APPROACHED HER AND ASKED HER FOR A DATE AND THAT SHE REFUSED AND SHE CLAIMS THAT THE DEFENDANT AT THAT POINT GRABBED HER IN VARIOUS SEXUAL AREAS OF HER BODY AND SHE FLED FROM HIM AND SAW A SCHOOLMATE AND ASKED FOR HIS HELP.,1/13/1995
"THE SCHOOLMATE TESTIFIED THAT SHE APPROACHED HIM AND WAS NERVOUS, BUT THERE WERE NO OTHER WITNESSES -- THERE WERE NO WITNESSES TO THE ENCOUNTER ITSELF BETWEEN THE DEFENDANT AND THE VICTIM, NONE AT ALL, NOR WERE THERE ANY WITNESSES TO THE VICTIM'S HAVING RUN AWAY, SO IT WAS A ONE-ON-ONE CREDIBILITY CONTEST, CROSS-RACIAL BETWEEN THE VICTIM AND THE DEFENDANT.",1/13/1995
"AND IN FACT THE COURT OF APPEAL IN THAT CASE SAID, AND I QUOTE FROM PAGE 506: ""THE ENTIRE CASE AGAINST APPELLANT HINGED ENTIRELY ON THE CREDIBILITY OF ONE WITNESS, DEBORAH M, WHO WAS THE VICTIM.""",1/13/1995
"THE COURT OF APPEAL HELD IN THAT CASE, YOUR HONOR, THAT: ""THE TRIAL COURT ERRED IN REFUSING THE DEFENSE TO PURSUE A LINE OF INQUIRY WITH REGARD TO WHETHER THE VICTIM HARBORED FEELINGS OF RACIAL ANIMOSITY,"" AND INDEED THE COURT OF APPEAL REVERSED THE SUSTAINING OF THE PETITION ON THAT GROUND.",1/13/1995
I WOULD NOTE IT WAS DIVISION 7.,1/13/1995
"YOUR HONOR, THAT SITUATION IS DIFFERENT THAN WHAT WE HAVE HERE.",1/13/1995
ALTHOUGH -- DOES THE COURT WISH ME TO ALLOW THE -- DOES THE COURT WISH ME TO ALLOW THE COURT AN OPPORTUNITY TO TAKE A LOOK BEFORE I CONTINUE?,1/13/1995
"THE COURT: ACTUALLY, THIS IS I THINK AN APPROPRIATE TIME TO TAKE A COURT REPORTER RECESS, SO WE WILL TAKE FIFTEEN.",1/13/1995
(RECESS.),1/13/1995
(DISCUSSION HELD OFF THE RECORD.),1/13/1995
THE COURT: ALL RIGHT.,1/13/1995
MISS LEWIS.,1/13/1995
ALL RIGHT.,1/13/1995
"I HAVE REVIEWED IN RE ANTHONY P. MS. LEWIS: YOUR HONOR, IN THAT CASE THE DEFENSE APPARENTLY HAD NO INFORMATION WITH REGARD TO RACIAL HOSTILITY AND SO THEY WERE REALLY IN A BLIND SITUATION.",1/13/1995
"HERE THE DEFENSE HAS FULLY, APPARENTLY FROM ALL WE AS THE PROSECUTION CAN TELL, HAS FULLY INVESTIGATED DETECTIVE FUHRMAN AND THE BEST THEY HAVE APPARENTLY MANAGED TO COME UP WITH THIS OLD, REMOTE, INFLAMMATORY EVIDENCE WHICH HAS INCREDIBLY WEAK PROBATIVE VALUE.",1/13/1995
AND I JUST WANT TO REITERATE TO THE COURT A COUPLE OF THINGS.,1/13/1995
"ONE IS THAT IT IS COLLATERAL, TO START WITH, AND THE CASES HAVE SAID THAT IT DOES NOT DENY EFFECTIVE CROSS-EXAMINATION TO A DEFENDANT TO PRECLUDE THE DEFENSE FROM INTRODUCING EVIDENCE THAT GOES ONLY TO THE WEIGHT OF DIRECT TESTIMONY.",1/13/1995
"AND THIS EVIDENCE IS NOT ONLY COLLATERAL BECAUSE IT IS COLLATERAL ON THE AREA OF IMPEACHMENT, IT IS EVEN A FURTHER STEP REMOVED, BECAUSE EVEN ON THAT AREA YOU HAVE TO LEAP FROM INFERENCE TO INFERENCE.",1/13/1995
"YOU HAVE TO LEAP FROM THE INFERENCE THAT RACIAL STATEMENTS THAT WERE MADE FOURTEEN YEARS AGO, EVEN EIGHT YEARS AGO, YOU HAVE TO LEAP FROM THAT INFERENCE THAT THAT SUPPLIES A MOTIVE THAT WOULD ACTUALLY CAUSE A DETECTIVE TO LIE DURING HIS TESTIMONY OR TO DO ANYTHING TO HARM THE PERSON BECAUSE OF THIS REMOTE, ANCIENT STATEMENTS THAT HE MADE.",1/13/1995
"SO IT IS INCREDIBLY REMOTE TO ALL OF THE ISSUES AT HAND AND INCREDIBLY COLLATERAL TO ALL OF THE ISSUES AT HAND AND THAT IS CERTAINLY UNLIKE THE ANTHONY P. CASE WHERE IT WAS CENTRAL -- THAT VICTIM'S CREDIBILITY, SINCE THERE WAS ZERO CORROBORATION, WAS CENTRAL TO THE CASE.",1/13/1995
"NOW, YOUR HONOR, IN THE DEFENSE RESPONSE BRIEF, THE DEFENSE INDICATES THAT THIS MOTION IS NOT RIPE FOR RESOLUTION.",1/13/1995
ONE THING WE ARE SEEKING FROM THIS COURT IS THE PRECLUSION OF GETTING INTO AN AREA OF WHETHER OR NOT DETECTIVE FUHRMAN IS A RACIST.,1/13/1995
THIS IS NOT A TRIAL ON DETERMINING WHETHER THESE STATEMENTS ATTRIBUTED TO HIM MANY YEARS AGO ARE GOING TO BE USEFUL IN TERMS OF THE JURY'S ASSESSMENT OF WHETHER OR NOT DEFENDANT SIMPSON COMMITTED THESE MURDERS.,1/13/1995
IT IS EXTREMELY COLLATERAL IN THAT SENSE AS WELL.,1/13/1995
"NOW, ALONG THOSE LINES WE NEED A RULING FROM THIS COURT.",1/13/1995
WE ARE ASKING FOR A RULING FROM THIS COURT THAT THE DEFENSE BE PRECLUDED FROM ASKING THE DETECTIVE CURRENTLY THESE QUESTIONS ABOUT RACISM AND WHETHER HE IS A RACIST.,1/13/1995
"THEY ARE UNDULY PREJUDICIAL, PARTICULARLY UNDER ALL OF THE CIRCUMSTANCES WE HAVE HERE.",1/13/1995
THEY HAVE ALREADY MALIGNED HIM EXTENSIVELY WITHIN THE MEDIA AND THAT MALIGNMENT HE WILL SUFFER WITH AND CARRY WITH HIM THE REST OF HIS LIFE.,1/13/1995
"I WANT TO REMIND THE COURT THAT THE EVIDENCE CODE DOES ASK THAT THE COURT PROTECT WITNESSES FROM HARASSMENT, AND WHEN THAT DETECTIVE TESTIFIES IN THIS COURTROOM, THE COURT WILL HAVE THE POWER AND THE ABILITY TO HEED EVIDENCE CODE 765 AND PROTECT THAT WITNESS FROM THE TYPE OF HARASSMENT HE HAS HAD TO UNDERGO IN THE MEDIA AND THROUGH THE PRESS BECAUSE OF THESE GROUNDLESS BASELESS DEFENSE ACCUSATIONS WITH REGARD TO THE GLOVE.",1/13/1995
"NOW, YOUR HONOR, THE FINAL AREA UNDER SECTION 352 CONCERNS THE PREJUDICIAL EFFECT OF THE EVIDENCE.",1/13/1995
"IT IS SELF-EVIDENT TO A CERTAIN EXTENT OF COURSE WHEN SOMEONE ISSUES THE ""N"" WORD OR ANY OTHER RACIAL EPITHET IN FRONT OF ANYBODY, AND ESPECIALLY IN FRONT OF A MEMBER OF THAT MINORITY GROUP, IT HAS AN INFLAMMATORY EFFECT THAT IS INCOMPARABLE, AND TO THAT SPECIFIC ISSUE MR. DARDEN WISHES TO ADDRESS THE COURT, AND I THINK I WILL CONCLUDE MY COMMENTS AT THIS TIME.",1/13/1995
THE COURT: ALL RIGHT.,1/13/1995
"THANK YOU, MISS LEWIS.",1/13/1995
"MR. DARDEN, GOOD MORNING.",1/13/1995
"MR. DARDEN: GOOD MORNING, YOUR HONOR.",1/13/1995
"YOUR HONOR, I THINK THE BEST INDICATIONAL EVIDENCE OF JUST HOW INFLAMMATORY THE USE OF THIS WORD IS IS A FACT THAT IT APPEARS THAT MR. COCHRAN AND I, THE ONLY TWO BLACK LEAD LAWYERS ON EACH SIDE OF THE COUNSEL TABLE, ARE SOMEHOW DRAGGED INTO THIS ISSUE TO ARGUE THE ISSUE TO THE COURT, AND I THINK THAT MAY BE DUE IN SOME PART TO THE FACT THAT IF ANYONE SHOULD SLIP AND SAY OR UTTER THE WORD, IT IS PROBABLY BETTER TO HAVE A BLACK PERSON DO IT, BECAUSE IF YOU HAVE A WHITE PERSON DO IT, IF A WHITE MALE TAKES THE WITNESS STAND AND THAT WORD IS UTTERED IN THIS COURTROOM, IT WILL OFFEND EVERY BLACK JUROR ON THIS CASE.",1/13/1995
"IT WILL OFFEND ME, IT WILL OFFEND MR. COCHRAN, IT WILL OFFEND MR. SIMPSON, IT WILL OFFEND THE AFRICAN AMERICAN REPORTERS IN THIS COURTROOM AND IT WILL OFFEND THE PUBLIC AND ANY OTHER AFRICAN AMERICAN WITHIN EARSHOT OF THAT WORD.",1/13/1995
IT IS A DIRTY FILTHY WORD.,1/13/1995
IT IS NOT A WORD THAT I ALLOW PEOPLE TO USE IN MY HOUSEHOLD.,1/13/1995
I'M SURE MR. COCHRAN DOESN'T.,1/13/1995
AND THE REASON WE DON'T IS BECAUSE IT IS AN EXTREMELY DEROGATORY AND DENIGRATING TERM BECAUSE IT IS SO PREJUDICIAL AND SO EXTREMELY INFLAMMATORY THAT TO USE THAT WORD IN ANY SITUATION WILL EVOKE SOME TYPE OF EMOTIONAL RESPONSE FROM ANY AFRICAN AMERICAN WITHIN EARSHOT OF THAT WORD.,1/13/1995
"I SPOKE TO DEAN UELMEN EARLIER THIS MORNING AND I ASKED HIM -- I SAID, ""DEAN, ARE YOU GOING TO USE THE ""N"" WORD DURING ARGUMENT TODAY?""",1/13/1995
"HE SAID, ""NOPE, NOT ME.""",1/13/1995
"WELL, IF DEAN UELMEN DOESN'T WANT TO UTTER THE WORD AND IF HAD COCHRAN DOESN'T UTTER THE WORD OR ALLOW OTHERS TO USE THAT WORD IN HIS HOUSEHOLD, AND I CERTAINLY DON'T, WHY THEN SHOULD WE ALLOW THAT WORD IN USE IN THIS COURTROOM?",1/13/1995
ESPECIALLY IN A CASE LIKE THIS WHERE IT HAS NO PROBATIVE VALUE.,1/13/1995
IT IS COMPLETELY IRRELEVANT.,1/13/1995
"IT WAS CREATED AND DESIGNED TO DO ONE THING, AND THAT IS TO DEMEAN PEOPLE, TO STRIP PEOPLE OF THEIR HUMANITY, TO EVOKE AN EMOTIONAL RESPONSE.",1/13/1995
"YOUR HONOR, WHEN YOU USE THAT WORD YOU ARE USING FIGHTING WORDS.",1/13/1995
WHEN YOU USE THAT WORD IN THE PRESENCE OF AN AFRICAN AMERICAN YOU ARE ASKING THAT AFRICAN AMERICAN FOR A REACTION.,1/13/1995
IT IS A CALL TO ARMS.,1/13/1995
IT IS A TEST.,1/13/1995
IT IS A TEST OF EVERY AFRICAN AMERICAN WHEN THEY HEAR THAT WORD AND THE TEST IS WHERE DO YOU STAND?,1/13/1995
ON WHICH SIDE OF THE LINE DO YOU STAND?,1/13/1995
"BECAUSE WHEN THAT WORD IS USED IN THE PRESENCE OF AN AFRICAN AMERICAN, AN AFRICAN AMERICAN HAS AN OBLIGATION TO DO SOMETHING ABOUT IT, TO SAY SOMETHING.",1/13/1995
"AN AFRICAN AMERICAN HAS A DUTY, IN MOST SITUATIONS TO CONFRONT, TO CONFRONT THE DECLARANT.",1/13/1995
"IT IS THE FILTHIEST, DIRTIEST, NASTIEST WORD IN THE ENGLISH LANGUAGE.",1/13/1995
IT HAS NO PLACE IN THIS CASE OR IN THIS COURTROOM.,1/13/1995
IT WILL DO NOTHING TO FURTHER THE COURT'S ATTEMPT AT SEEKING THE TRUTH IN THIS CASE.,1/13/1995
IT WILL DO ONE THING.,1/13/1995
"IT WILL UPSET THE BLACK JURORS, IT WILL ISSUE A TEST, IT WILL GIVE THEM THE TEST AND THE TEST WILL BE WHOSE SIDE ARE YOU ON?",1/13/1995
THE SIDE OF THE WHITE PROSECUTORS AND THE WHITE POLICEMEN OR ON THE SIDE OF THE BLACK DEFENDANT AND HIS VERY PROMINENT AND BLACK LAWYER?,1/13/1995
THAT IS WHAT IT IS GOING TO DO.,1/13/1995
EITHER YOU ARE WITH THE MAN OR YOU ARE WITH THE BROTHERS.,1/13/1995
THAT IS WHAT IT DOES.,1/13/1995
THAT IS EXACTLY WHAT IT DOES.,1/13/1995
"NO ONE, NO AFRICAN AMERICAN CAN HEAR THAT WORD WITHOUT GETTING UPSET.",1/13/1995
YOU HEAR IT IN THE MOVIES; IT UPSETS YOU.,1/13/1995
"PEOPLE DON'T LISTEN TO RAP MUSIC, BLACK PEOPLE, BECAUSE THEY DON'T LIKE THAT WORD.",1/13/1995
"THEY DON'T LIKE THE USE OF THAT WORD, AND IF YOU SEARCH BLACK LIGATURE TODAY, BLACK MAGAZINES, YOU WILL SEE LETTERS, WRITERS AND ARTICLES AND PEOPLE ASKING WHY THAT WORD IS USED, WHY DOES THAT WORD EXIST?",1/13/1995
WHY WOULD ANYBODY WANT TO USE IT?,1/13/1995
WHY WOULD ANYBODY WANT TO RAP ABOUT IT?,1/13/1995
WHY WOULD ANYBODY WANT TO WRITE ABOUT IT?,1/13/1995
WHY WOULD ANYONE WANT TO REPEAT IT OR SAY IT?,1/13/1995
THE WORD HAS NO PLACE IN THE ENGLISH LANGUAGE.,1/13/1995
IT HAS NO PLACE IN THIS COURTROOM.,1/13/1995
YOU SHOULDN'T LET THEM USE IT.,1/13/1995
I'M NOT GOING TO SAY THE WORD.,1/13/1995
WE ALL KNOW WHAT THE WORD IS.,1/13/1995
"IF MR. COCHRAN USES THAT WORD TODAY I'M GOING TO BE OFFENDED, AND IT IS PROBABLY THE THIRD OR FOR THE TIME THIS WEEK THAT I HAVE BEEN OFFENDED, BUT I CAN'T HELP BUT BE OFFENDED.",1/13/1995
HOW CAN THE JURY HELP BUT BE OFFENDED?,1/13/1995
"DETECTIVE FUHRMAN IS GOING TO PLAY A VERY, VERY SMALL ROLE IN THIS CASE.",1/13/1995
THIS WASN'T HIS CASE.,1/13/1995
HE WAS NOT THE INVESTIGATING OFFICER OR THE LEAD INVESTIGATING OFFICER IN THIS CASE.,1/13/1995
HE WENT TO ROCKINGHAM WITH FOUR OTHER DETECTIVES OR THREE OTHER DETECTIVES AND HE JUST HAPPENED TO FIND AN ITEM.,1/13/1995
PURE HAPPENSTANCE.,1/13/1995
PURE LUCK ON THE PART OF THE POLICE AND CERTAINLY ON THE PART OF THE PROSECUTION.,1/13/1995
HE JUST HAPPENED TO FIND A GLOVE.,1/13/1995
ONE ITEM.,1/13/1995
"THE MAN FINDS ONE ITEM AMONGST SIX OR SEVEN OR 800 OTHER ITEMS COLLECTED BY THE POLICE IN THIS CASE AND NOW WHEN THE MAN IS CALLED TO THE WITNESS STAND WE ARE GOING TO GO FIFTEEN YEARS BACK OR FOURTEEN YEARS BACK AND ASK HIM IF HE EVER MADE A RACIAL SLUR, REPEATED A RACIAL EPITHET?",1/13/1995
WHY?,1/13/1995
WHAT IS THE POINT OF THAT WHEN THE DETECTIVE IS GOING TO PLAY SUCH A SMALL ROLE IN THIS CASE?,1/13/1995
THERE IS NO LEGAL PURPOSE.,1/13/1995
THERE IS NO VALID OR LEGITIMATE PURPOSE.,1/13/1995
"BUT MR. COCHRAN AND THE DEFENSE, THEY HAVE A PURPOSE IN GOING INTO THAT AREA AND THE PURPOSE IS TO INFLAME THE PASSIONS OF THE JURY AND TO ASK THEM TO PICK SIDES NOT ON THE BASIS OF THE EVIDENCE IN THIS CASE.",1/13/1995
AND THE EVIDENCE IN THIS CASE AGAINST THIS DEFENDANT IS OVERWHELMING.,1/13/1995
THERE IS A MOUNTAIN OF EVIDENCE POINTING TO THIS DEFENDANT'S GUILT.,1/13/1995
"BUT WHEN YOU MENTION THAT WORD TO THIS JURY OR TO ANY AFRICAN AMERICAN, IT BLINDS PEOPLE.",1/13/1995
"IT WILL BLIND THE JURY, IT WILL BLIND THEM TO THE TRUTH.",1/13/1995
THEY WON'T BE ABLE TO DISCERN WHAT IS TRUE AND WHAT IS NOT.,1/13/1995
"IT WILL AFFECT THEIR JUDGMENT, IT WILL IMPAIR THEIR ABILITY TO BE FAIR AND IMPARTIAL.",1/13/1995
IT WILL CAUSE EXTREME PREJUDICE TO THE PROSECUTION'S CASE.,1/13/1995
"YOU KNOW, AND WE DO HAVE A RIGHT, YOUR HONOR, AND I KNOW THE COURT IS WELL AWARE OF IT AND I DON'T HAVE TO EDUCATE THE COURT ON THIS POINT, BUT WE HAVE A RIGHT TO A FAIR TRIAL JUST LIKE THE DEFENDANT HAS.",1/13/1995
WE ARE NOT RUNNING AROUND OR TALKING ABOUT OR SEEKING TO INTRODUCE TO THE JURY THE NOTION THAT THIS DEFENDANT HAS A FETISH FOR BLOND-HAIRED WHITE WOMEN.,1/13/1995
THAT WOULD BE INAPPROPRIATE.,1/13/1995
THAT WOULD INFLAME THE PASSIONS OF THE JURY.,1/13/1995
IT WOULD BE OUTRAGEOUS.,1/13/1995
THE USE OF THAT WORD IN THIS CASE IS OUTRAGEOUS.,1/13/1995
THE USE OF THAT WORD WILL INFLAME THE PASSIONS OF THE JURY.,1/13/1995
THIS ISN'T A RACE CASE.,1/13/1995
"MR. COCHRAN WANTS TO PLAY THE ACE OF SPADES AND PLAY THE RACE CARD, BUT THIS ISN'T A RACE CASE.",1/13/1995
WE SHOULDN'T ALLOW HIM TO PLAY THAT CARD.,1/13/1995
"WE SHOULDN'T ALLOW HIM TO PLAY THAT CARD IF WHAT WE ARE REALLY INTERESTED IN IS PLAYING BY THE RULES, FINDING OUT JUST WHAT HAPPENED AT BUNDY AND IF WE ARE REALLY INTERESTED IN SEARCHING FOR THE TRUTH.",1/13/1995
"YESTERDAY I HANDED TO THE COURT SOME ARTICLES AND XEROXED COPIES OF A COUPLE OF CHAPTERS FROM A COUPLE OF BOOKS, AND THEY INCLUDED ANDREW HACKER'S TWO NATIONS, AND IF I MIGHT, I WOULD LIKE TO DIRECT THE COURT'S ATTENTION TO PAGE 43 OF TWO NATIONS AND READ INTO THE RECORD A PARTICULAR QUOTE, AND I WOULD LIKE TO READ THIS QUOTE BECAUSE I THINK THIS QUOTE FAIRLY DESCRIBES THE IMPACT AND EFFECT THE HEARING OF THIS WORD HAS AND WILL HAVE ON ANY AFRICAN AMERICANS ON THE JURY.",1/13/1995
"WITH REGARD TO THIS ""N"" WORD HACKER WRITES: ""WHEN A WHITE PERSON VOICES IT, IT BECOMES A KNIFE WITH A WHETTED EDGE.",1/13/1995
NO BLACK PERSON CAN HEAR IT WITH EQUANIMITY OR IGNORE IT AS SIMPLY A WORD.,1/13/1995
"THIS WORD HAS THE FORCE TO PIERCE, TO WOUND, TO PENETRATE AS NO OTHER HAS.",1/13/1995
"THERE HAVE OF COURSE BEEN TERMS LIKE 'KIKE' AND 'SPIC' AND 'CHINK'"" AND I HAVE USED THOSE WORDS AND I APOLOGIZE FOR USING THOSE TERMS, YOUR HONOR, ""BUT THESE ARE LESS FREQUENTLY HEARD TODAY AND THEY LACK THE SAME EMOTIONAL IMPACT.",1/13/1995
"SOME NON-ETHNIC TERMS COME CLOSER, SUCH AS 'SLUT' AND 'FAG' AND 'CRIPPLE.'",1/13/1995
"YET THE ""N"" WORD STANDS ALONE WITH THIS POWER TO TEAR AT ONE'S INSIDES.",1/13/1995
