Sentences,INDX,date_binary,Tags_Clean,Has_Date,Tags_Trim
MR. SCHECK: The first trip is when Miss Mazzola put the posse box into the back of the crime scene truck?,154160,['0'],"['O', 'O', 'S-PERSON', 'O', 'O', 'S-ORDINAL', 'O', 'O', 'O', 'O', 'S-PERSON', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",1,"['MR O', '. O', 'SCHECK S-PERSON', ': O', 'The O', 'first S-ORDINAL', 'trip O', 'is O', 'when O', 'Miss O', 'Mazzola S-PERSON', 'put O', 'the O', 'posse O', 'box O', 'into O', 'the O', 'back O', 'of O', 'the O', 'crime O', 'scene O', 'truck O', '? O']"
"MR. DARDEN: And with regard to the black glove that you've seen, okay, the Stewart West photographs, the Romano photographs, you were shown photographs taken December 23, 1990 and in January, 1994; is that correct?",410022,['1'],"['O', 'O', 'S-PERSON', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-PERSON', 'E-PERSON', 'O', 'O', 'O', 'S-PERSON', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-DATE', 'I-DATE', 'I-DATE', 'E-DATE', 'O', 'O', 'B-DATE', 'I-DATE', 'E-DATE', 'O', 'O', 'O', 'O', 'O']",1,"['MR O', '. O', 'DARDEN S-PERSON', ': O', 'And O', 'with O', 'regard O', 'to O', 'the O', 'black O', 'glove O', 'that O', 'you O', ""'ve O"", 'seen O', ', O', 'okay O', ', O', 'the O', 'Stewart B-PERSON', 'West E-PERSON', 'photographs O', ', O', 'the O', 'Romano S-PERSON', 'photographs O', ', O', 'you O', 'were O', 'shown O', 'photographs O', 'taken O', 'December B-DATE', '23 I-DATE', ', I-DATE', '1990 E-DATE', 'and O', 'in O', 'January B-DATE', ', I-DATE', '1994 E-DATE', '; O', 'is O', 'that O', 'correct O', '? O']"
If I could have the third photograph back--I'm really not offering it.,245774,['0'],"['O', 'O', 'O', 'O', 'O', 'S-ORDINAL', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",1,"['If O', 'I O', 'could O', 'have O', 'the O', 'third S-ORDINAL', 'photograph O', 'back O', '-- O', 'I O', ""'m O"", 'really O', 'not O', 'offering O', 'it O', '. O']"
I HAD BEEN IN BED MUCH OF THE DAY AND I THOUGHT AT THAT POINT THAT IT REALLY WASN'T INCUMBENT UPON ME TO CALL YOU BACK.,134673,['1'],"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-DATE', 'E-DATE', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",1,"['I O', 'HAD O', 'BEEN O', 'IN O', 'BED O', 'MUCH O', 'OF O', 'THE B-DATE', 'DAY E-DATE', 'AND O', 'I O', 'THOUGHT O', 'AT O', 'THAT O', 'POINT O', 'THAT O', 'IT O', 'REALLY O', ""WASN'T O"", 'INCUMBENT O', 'UPON O', 'ME O', 'TO O', 'CALL O', 'YOU O', 'BACK O', '. O']"
"DR. LAKSHMANAN: Yes, because I also indicated in an opinion yesterday that one possible scenario was that given the injuries we have, that they could have been partially immobilized.",241586,['1'],"['O', 'O', 'S-PERSON', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'S-DATE', 'O', 'S-CARDINAL', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",1,"['DR O', '. O', 'LAKSHMANAN S-PERSON', ': O', 'Yes O', ', O', 'because O', 'I O', 'also O', 'indicated O', 'in O', 'an O', 'opinion O', 'yesterday S-DATE', 'that O', 'one S-CARDINAL', 'possible O', 'scenario O', 'was O', 'that O', 'given O', 'the O', 'injuries O', 'we O', 'have O', ', O', 'that O', 'they O', 'could O', 'have O', 'been O', 'partially O', 'immobilized O', '. O']"
"GIVEN THAT WE ARE CURRENTLY ON THE DOMESTIC DISCORD ASPECT OF THE TRIAL WHERE THE PHYSICAL EVIDENCE IS LESS PROBATIVE OR EVEN NECESSARY, I WAS HOPEFUL THAT I COULD FASHION SOME RESOLUTION TODAY SO THAT WE HAVE THOSE ITEMS SENT OUT IN THE COMING DAYS.",16918,['1'],"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'S-DATE', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-DATE', 'I-DATE', 'E-DATE', 'O']",1,"['GIVEN O', 'THAT O', 'WE O', 'ARE O', 'CURRENTLY O', 'ON O', 'THE O', 'DOMESTIC O', 'DISCORD O', 'ASPECT O', 'OF O', 'THE O', 'TRIAL O', 'WHERE O', 'THE O', 'PHYSICAL O', 'EVIDENCE O', 'IS O', 'LESS O', 'PROBATIVE O', 'OR O', 'EVEN O', 'NECESSARY O', ', O', 'I O', 'WAS O', 'HOPEFUL O', 'THAT O', 'I O', 'COULD O', 'FASHION O', 'SOME O', 'RESOLUTION O', 'TODAY S-DATE', 'SO O', 'THAT O', 'WE O', 'HAVE O', 'THOSE O', 'ITEMS O', 'SENT O', 'OUT O', 'IN O', 'THE B-DATE', 'COMING I-DATE', 'DAYS E-DATE', '. O']"
MR. SCHECK: Were there any differences between the cutting as you saw it on April 2nd and the one on February 16th?,384628,['1'],"['O', 'O', 'S-PERSON', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-DATE', 'E-DATE', 'O', 'O', 'O', 'O', 'B-DATE', 'E-DATE', 'O']",1,"['MR O', '. O', 'SCHECK S-PERSON', ': O', 'Were O', 'there O', 'any O', 'differences O', 'between O', 'the O', 'cutting O', 'as O', 'you O', 'saw O', 'it O', 'on O', 'April B-DATE', '2nd E-DATE', 'and O', 'the O', 'one O', 'on O', 'February B-DATE', '16th E-DATE', '? O']"
"""Answer: Well, first of all, it is very wide, so it is compatible with a narrower blade that is also cutting the skin.",243195,['0'],"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",1,"['"" O', 'Answer O', ': O', 'Well O', ', O', 'first O', 'of O', 'all O', ', O', 'it O', 'is O', 'very O', 'wide O', ', O', 'so O', 'it O', 'is O', 'compatible O', 'with O', 'a O', 'narrower O', 'blade O', 'that O', 'is O', 'also O', 'cutting O', 'the O', 'skin O', '. O']"
IT WAS STATED IN THE LOS ANGELES TIMES BY DR. LENORE WALKER HERSELF THAT SHE WAS RETAINED BY COUNSEL IN THE SUMMER OF '94 AND THAT SHE HAS SPOKEN TO THE DEFENDANT FOR HOURS IN PREPARATION FOR HER TESTIMONY.,11429,['1'],"['O', 'O', 'O', 'O', 'B-ORG', 'I-ORG', 'E-ORG', 'O', 'O', 'S-PERSON', 'O', 'B-PERSON', 'E-PERSON', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-DATE', 'E-DATE', 'O', 'O', 'S-DATE', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'S-TIME', 'O', 'O', 'O', 'O', 'O', 'O']",1,"['IT O', 'WAS O', 'STATED O', 'IN O', 'THE B-ORG', 'LOS I-ORG', 'ANGELES E-ORG', 'TIMES O', 'BY O', 'DR S-PERSON', '. O', 'LENORE B-PERSON', 'WALKER E-PERSON', 'HERSELF O', 'THAT O', 'SHE O', 'WAS O', 'RETAINED O', 'BY B-DATE', 'COUNSEL I-DATE', 'IN I-DATE', 'THE I-DATE', 'SUMMER E-DATE', 'OF O', ""' O"", '94 S-DATE', 'AND O', 'THAT O', 'SHE O', 'HAS O', 'SPOKEN O', 'TO O', 'THE O', 'DEFENDANT O', 'FOR O', 'HOURS S-TIME', 'IN O', 'PREPARATION O', 'FOR O', 'HER O', 'TESTIMONY O', '. O']"
"IN 1978, THERE WAS AN INCIDENT THAT OCCURRED AT THE LA CANTINA -- I GUESS -- IT IS A BAR I THINK AS CHARACTERIZED BY MR. UELMEN.",1245,['1'],"['O', 'S-DATE', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-FAC', 'I-FAC', 'E-FAC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'S-PERSON', 'O']",1,"['IN O', '1978 S-DATE', ', O', 'THERE O', 'WAS O', 'AN O', 'INCIDENT O', 'THAT O', 'OCCURRED O', 'AT O', 'THE O', 'LA O', 'CANTINA O', '-- O', 'I O', 'GUESS O', '-- O', 'IT O', 'IS O', 'A O', 'BAR O', 'I O', 'THINK O', 'AS O', 'CHARACTERIZED O', 'BY O', 'MR O', '. O', 'UELMEN S-PERSON', '. O']"
"That is--that is the last time they saw Detective Fuhrman, when he was on that stand subjected to direct and cross-examination for six days.",404642,['1'],"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'S-PERSON', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-DATE', 'E-DATE', 'O']",1,"['That O', 'is O', '-- O', 'that O', 'is O', 'the O', 'last O', 'time O', 'they O', 'saw O', 'Detective O', 'Fuhrman S-PERSON', ', O', 'when O', 'he O', 'was O', 'on O', 'that O', 'stand O', 'subjected O', 'to O', 'direct O', 'and O', 'cross-examination O', 'for O', 'six B-DATE', 'days E-DATE', '. O']"
MR. SHAPIRO: Are you aware that in the fifteen years that he played football he was only involved in one fight?,319890,['1'],"['O', 'O', 'S-PERSON', 'O', 'O', 'O', 'O', 'O', 'O', 'B-DATE', 'I-DATE', 'E-DATE', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'S-CARDINAL', 'O', 'O']",1,"['MR O', '. O', 'SHAPIRO S-PERSON', ': O', 'Are O', 'you O', 'aware O', 'that O', 'in O', 'the B-DATE', 'fifteen I-DATE', 'years E-DATE', 'that O', 'he O', 'played O', 'football O', 'he O', 'was O', 'only O', 'involved O', 'in O', 'one S-CARDINAL', 'fight O', '? O']"
For the first time on the witness stand he said I found another ion on the sock and he tried to show you that one of those peaks matches something else.,446736,['0'],"['O', 'O', 'S-ORDINAL', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",1,"['For O', 'the O', 'first S-ORDINAL', 'time O', 'on O', 'the O', 'witness O', 'stand O', 'he O', 'said O', 'I O', 'found O', 'another O', 'ion O', 'on O', 'the O', 'sock O', 'and O', 'he O', 'tried O', 'to O', 'show O', 'you O', 'that O', 'one O', 'of O', 'those O', 'peaks O', 'matches O', 'something O', 'else O', '. O']"
"Q: NOW, WHILE WE'RE ON THE SUBJECT OF DOGS, DID YOU EVER USE ANY DOG TO HELP YOU IN YOUR INVESTIGATION ON OR ABOUT JUNE 13TH, 1994?",63298,['1'],"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-DATE', 'I-DATE', 'I-DATE', 'I-DATE', 'E-DATE', 'O']",1,"['Q O', ': O', 'NOW O', ', O', 'WHILE O', ""WE'RE O"", 'ON O', 'THE O', 'SUBJECT O', 'OF O', 'DOGS O', ', O', 'DID O', 'YOU O', 'EVER O', 'USE O', 'ANY O', 'DOG O', 'TO O', 'HELP O', 'YOU O', 'IN O', 'YOUR O', 'INVESTIGATION O', 'ON O', 'OR O', 'ABOUT B-DATE', 'JUNE I-DATE', '13TH I-DATE', ', I-DATE', '1994 E-DATE', '? O']"
"MR. DARDEN: Well, you just read this June 17th statement again, right?",311082,['1'],"['O', 'O', 'S-PERSON', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-DATE', 'E-DATE', 'O', 'O', 'O', 'O', 'O']",1,"['MR O', '. O', 'DARDEN S-PERSON', ': O', 'Well O', ', O', 'you O', 'just O', 'read O', 'this O', 'June B-DATE', '17th E-DATE', 'statement O', 'again O', ', O', 'right O', '? O']"
"MR. CLARKE: Lastly, Dr. Cotton, referring you to what I believe is marked People's exhibit 209, which lists in particular off to the far right what appear to be four photographs of items that, according to the chart, were directed to your laboratory on April 3rd, 1995--first of all, have you had an opportunity to look at the photographs on this board as well?",180626,['1'],"['O', 'O', 'S-PERSON', 'O', 'O', 'O', 'O', 'S-PERSON', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'S-CARDINAL', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'S-CARDINAL', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-DATE', 'I-DATE', 'I-DATE', 'E-DATE', 'O', 'S-ORDINAL', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",1,"['MR O', '. O', 'CLARKE S-PERSON', ': O', 'Lastly O', ', O', 'Dr. O', 'Cotton S-PERSON', ', O', 'referring O', 'you O', 'to O', 'what O', 'I O', 'believe O', 'is O', 'marked O', 'People O', ""'s O"", 'exhibit O', '209 S-CARDINAL', ', O', 'which O', 'lists O', 'in O', 'particular O', 'off O', 'to O', 'the O', 'far O', 'right O', 'what O', 'appear O', 'to O', 'be O', 'four S-CARDINAL', 'photographs O', 'of O', 'items O', 'that O', ', O', 'according O', 'to O', 'the O', 'chart O', ', O', 'were O', 'directed O', 'to O', 'your O', 'laboratory O', 'on O', 'April B-DATE', '3rd I-DATE', ', I-DATE', '1995 E-DATE', '-- O', 'first S-ORDINAL', 'of O', 'all O', ', O', 'have O', 'you O', 'had O', 'an O', 'opportunity O', 'to O', 'look O', 'at O', 'the O', 'photographs O', 'on O', 'this O', 'board O', 'as O', 'well O', '? O']"
"SO WHAT MR. COCHRAN DID BY THOSE REVELATIONS TO THE JURY IN OPENING STATEMENT IS TO MAKE IT ABSOLUTELY CLEAR, HIT THE NAIL ON THE HEAD AS FAR AS THE DEFENSE OBLIGATION TO DISCLOSE ALL OF THOSE NOTES AND ALL OF THE TESTING, THE TESTING INSTRUMENTS, THE RAW DATA, ALL OF THAT THAT HAS BEEN GARNERED BY DR. LENORE WALKER, AND WE HAVE NOT AS OF YESTERDAY WHEN MR. SCOTT GORDON OF OUR OFFICE, WHEN I SAW HIM LAST -- HE HAD TO BE OUT OF TOWN THE REST OF THIS WEEK -- HE HADN'T RECEIVED ANYTHING.",71981,['1'],"['O', 'O', 'O', 'O', 'S-PERSON', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-PERSON', 'E-PERSON', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'S-DATE', 'O', 'O', 'O', 'B-PERSON', 'E-PERSON', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-DATE', 'E-DATE', 'O', 'O', 'O', 'O', 'O', 'O']",1,"['SO O', 'WHAT O', 'MR O', '. O', 'COCHRAN S-PERSON', 'DID O', 'BY O', 'THOSE O', 'REVELATIONS O', 'TO O', 'THE O', 'JURY O', 'IN O', 'OPENING O', 'STATEMENT O', 'IS O', 'TO O', 'MAKE O', 'IT O', 'ABSOLUTELY O', 'CLEAR O', ', O', 'HIT O', 'THE O', 'NAIL O', 'ON O', 'THE O', 'HEAD O', 'AS O', 'FAR O', 'AS O', 'THE O', 'DEFENSE O', 'OBLIGATION O', 'TO O', 'DISCLOSE O', 'ALL O', 'OF O', 'THOSE O', 'NOTES O', 'AND O', 'ALL O', 'OF O', 'THE O', 'TESTING O', ', O', 'THE O', 'TESTING O', 'INSTRUMENTS O', ', O', 'THE O', 'RAW O', 'DATA O', ', O', 'ALL O', 'OF O', 'THAT O', 'THAT O', 'HAS O', 'BEEN O', 'GARNERED O', 'BY O', 'DR O', '. O', 'LENORE B-PERSON', 'WALKER E-PERSON', ', O', 'AND O', 'WE O', 'HAVE O', 'NOT O', 'AS O', 'OF O', 'YESTERDAY S-DATE', 'WHEN O', 'MR O', '. O', 'SCOTT B-PERSON', 'GORDON E-PERSON', 'OF O', 'OUR O', 'OFFICE O', ', O', 'WHEN O', 'I O', 'SAW O', 'HIM O', 'LAST O', '-- O', 'HE O', 'HAD O', 'TO O', 'BE O', 'OUT O', 'OF O', 'TOWN O', 'THE O', 'REST O', 'OF O', 'THIS B-DATE', 'WEEK E-DATE', '-- O', 'HE O', ""HADN'T O"", 'RECEIVED O', 'ANYTHING O', '. O']"
"MR. SCHECK: And looking at band intensities on the D1S80 system, would you say that the proportion--let me ask you, how would you estimate the proportion of DNA within that area that contributed to the 25 allele?",205795,['0'],"['O', 'O', 'S-PERSON', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'S-ORG', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'S-CARDINAL', 'O', 'O']",1,"['MR O', '. O', 'SCHECK S-PERSON', ': O', 'And O', 'looking O', 'at O', 'band O', 'intensities O', 'on O', 'the O', 'D1S80 S-ORG', 'system O', ', O', 'would O', 'you O', 'say O', 'that O', 'the O', 'proportion O', '-- O', 'let O', 'me O', 'ask O', 'you O', ', O', 'how O', 'would O', 'you O', 'estimate O', 'the O', 'proportion O', 'of O', 'DNA O', 'within O', 'that O', 'area O', 'that O', 'contributed O', 'to O', 'the O', '25 S-CARDINAL', 'allele O', '? O']"
"At any event, the maximum number of brown extra larges that would have been sold during 1990 is 200 to 240, correct?",256945,['1'],"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'S-DATE', 'O', 'S-CARDINAL', 'O', 'S-CARDINAL', 'O', 'O', 'O']",1,"['At O', 'any O', 'event O', ', O', 'the O', 'maximum O', 'number O', 'of O', 'brown O', 'extra O', 'larges O', 'that O', 'would O', 'have O', 'been O', 'sold O', 'during B-DATE', '1990 E-DATE', 'is O', '200 S-CARDINAL', 'to O', '240 S-CARDINAL', ', O', 'correct O', '? O']"
"Now, we had a discussion about PCR carry-over contamination on I think it was Friday morning.",206936,['1'],"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'S-DATE', 'S-TIME', 'O']",1,"['Now O', ', O', 'we O', 'had O', 'a O', 'discussion O', 'about O', 'PCR O', 'carry-over O', 'contamination O', 'on O', 'I O', 'think O', 'it O', 'was O', 'Friday S-DATE', 'morning S-TIME', '. O']"
"DR. HUIZENGA: Actually initially, in the first 24 hours, it's inflammatory cells.",315684,['0'],"['O', 'O', 'S-PERSON', 'O', 'O', 'O', 'O', 'O', 'B-TIME', 'I-TIME', 'I-TIME', 'E-TIME', 'O', 'O', 'O', 'O', 'O', 'O']",1,"['DR O', '. O', 'HUIZENGA S-PERSON', ': O', 'Actually O', 'initially O', ', O', 'in O', 'the B-TIME', 'first I-TIME', '24 I-TIME', 'hours E-TIME', ', O', 'it O', ""'s O"", 'inflammatory O', 'cells O', '. O']"
"And in arrears we found out--I found out because there was my first visit with him that he had also been put on sulfasalazine which is a disease modifying drug for rheumatoid arthritis, but that in fact he had stopped taking that about a month prior to my seeing him.",314683,['1'],"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'S-ORDINAL', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-DATE', 'I-DATE', 'I-DATE', 'E-DATE', 'O', 'O', 'O', 'O', 'O']",1,"['And O', 'in O', 'arrears O', 'we O', 'found O', 'out O', '-- O', 'I O', 'found O', 'out O', 'because O', 'there O', 'was O', 'my O', 'first S-ORDINAL', 'visit O', 'with O', 'him O', 'that O', 'he O', 'had O', 'also O', 'been O', 'put O', 'on O', 'sulfasalazine O', 'which O', 'is O', 'a O', 'disease O', 'modifying O', 'drug O', 'for O', 'rheumatoid O', 'arthritis O', ', O', 'but O', 'that O', 'in O', 'fact O', 'he O', 'had O', 'stopped O', 'taking O', 'that O', 'about B-DATE', 'a I-DATE', 'month I-DATE', 'prior E-DATE', 'to O', 'my O', 'seeing O', 'him O', '. O']"
SEE YOU TOMORROW MORNING.,61995,['1'],"['O', 'O', 'S-DATE', 'O', 'O']",1,"['SEE O', 'YOU O', 'TOMORROW S-DATE', 'MORNING O', '. O']"
"Q: FOUR YEARS, TWO MONTHS AT THAT TIME?",33921,['1'],"['O', 'O', 'B-DATE', 'E-DATE', 'O', 'B-DATE', 'E-DATE', 'O', 'O', 'O', 'O']",1,"['Q O', ': O', 'FOUR B-DATE', 'YEARS E-DATE', ', O', 'TWO B-DATE', 'MONTHS E-DATE', 'AT O', 'THAT O', 'TIME O', '? O']"
"Of these 12 individuals, none of them are the same type.",211381,['0'],"['O', 'O', 'S-CARDINAL', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",1,"['Of O', 'these O', '12 S-CARDINAL', 'individuals O', ', O', 'none O', 'of O', 'them O', 'are O', 'the O', 'same O', 'type O', '. O']"
"MR. SHAPIRO: And with no notes to refresh your memory it would be very hard to describe with a medical degree of certainty, the wounds, the coloration that you observed on the 13th; isn't that correct?",253818,['1'],"['O', 'O', 'S-PERSON', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-DATE', 'E-DATE', 'O', 'O', 'O', 'O', 'O', 'O']",1,"['MR O', '. O', 'SHAPIRO S-PERSON', ': O', 'And O', 'with O', 'no O', 'notes O', 'to O', 'refresh O', 'your O', 'memory O', 'it O', 'would O', 'be O', 'very O', 'hard O', 'to O', 'describe O', 'with O', 'a O', 'medical O', 'degree O', 'of O', 'certainty O', ', O', 'the O', 'wounds O', ', O', 'the O', 'coloration O', 'that O', 'you O', 'observed O', 'on O', 'the B-DATE', '13th E-DATE', '; O', 'is O', ""n't O"", 'that O', 'correct O', '? O']"
31 from the center console?,412742,['0'],"['O', 'O', 'O', 'O', 'O', 'O']",1,"['31 O', 'from O', 'the O', 'center O', 'console O', '? O']"
"Now, with respect, however, to the imprints on the envelope, the piece of paper and Mr. Goldman's jeans, would you agree based on the photographic evidence you've seen that those were present on June 12th and June 13th?",421163,['1'],"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'S-PERSON', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-DATE', 'I-DATE', 'I-DATE', 'I-DATE', 'E-DATE', 'O']",1,"['Now O', ', O', 'with O', 'respect O', ', O', 'however O', ', O', 'to O', 'the O', 'imprints O', 'on O', 'the O', 'envelope O', ', O', 'the O', 'piece O', 'of O', 'paper O', 'and O', 'Mr. O', 'Goldman S-PERSON', ""'s O"", 'jeans O', ', O', 'would O', 'you O', 'agree O', 'based O', 'on O', 'the O', 'photographic O', 'evidence O', 'you O', ""'ve O"", 'seen O', 'that O', 'those O', 'were O', 'present O', 'on O', 'June B-DATE', '12th I-DATE', 'and I-DATE', 'June I-DATE', '13th E-DATE', '? O']"
"DR. GERDES: The way I constructed that chart was to go through and make the entries and then I would double-check them and I would also--I would--as I went through the first run through I would have questions, you know, have--have them see if they can get another copy of this strip or this one is missing, for instance, the initial discovery that we received was incomplete.",356072,['0'],"['O', 'O', 'S-PERSON', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'S-ORDINAL', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",1,"['DR O', '. O', 'GERDES S-PERSON', ': O', 'The O', 'way O', 'I O', 'constructed O', 'that O', 'chart O', 'was O', 'to O', 'go O', 'through O', 'and O', 'make O', 'the O', 'entries O', 'and O', 'then O', 'I O', 'would O', 'double-check O', 'them O', 'and O', 'I O', 'would O', 'also O', '-- O', 'I O', 'would O', '-- O', 'as O', 'I O', 'went O', 'through O', 'the O', 'first S-ORDINAL', 'run O', 'through O', 'I O', 'would O', 'have O', 'questions O', ', O', 'you O', 'know O', ', O', 'have O', '-- O', 'have O', 'them O', 'see O', 'if O', 'they O', 'can O', 'get O', 'another O', 'copy O', 'of O', 'this O', 'strip O', 'or O', 'this O', 'one O', 'is O', 'missing O', ', O', 'for O', 'instance O', ', O', 'the O', 'initial O', 'discovery O', 'that O', 'we O', 'received O', 'was O', 'incomplete O', '. O']"
So the court has no information about what the Defense has done in the last six months to pursue the leads which flowed from those reports which the court gave to Defense; is that correct?,399039,['1'],"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'S-ORG', 'O', 'O', 'O', 'B-DATE', 'I-DATE', 'I-DATE', 'E-DATE', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",1,"['So O', 'the O', 'court O', 'has O', 'no O', 'information O', 'about O', 'what O', 'the O', 'Defense S-ORG', 'has O', 'done O', 'in O', 'the B-DATE', 'last I-DATE', 'six I-DATE', 'months E-DATE', 'to O', 'pursue O', 'the O', 'leads O', 'which O', 'flowed O', 'from O', 'those O', 'reports O', 'which O', 'the O', 'court O', 'gave O', 'to O', 'Defense O', '; O', 'is O', 'that O', 'correct O', '? O']"
