Sentence,Data_Split,Case_Name,Transcript_Date,Case_Type,Transcript_Type,Silver_Flair_Date_Detected,Silver_Flair_Entities,Silver_BIOES_NER_Tags,Gold_BIOES_NER_Tags,Sentence_NER_Annotated,Annotator_Source,NER_Annotator_Source
I WANTED TO JUST NOTIFY THE COURT THAT THE DEFENSE HAS NO OBJECTION TO HIS DISMISSAL.,UNLABELED,Holmes,8/31/2022,Criminal,Trial,0.0,[],,,,,
"I'VE TOLD MR. SCHENK, AND I'VE IDENTIFIED THAT ISSUE TO MR. SCHENK.",UNLABELED,Holmes,8/31/2022,Criminal,Trial,0.0,[],,,,,
"THE REASON I RAISE IT IS THAT IF THE COURT HAS AN OPPORTUNITY TO REVIEW IT DURING THE COURSE OF THE TODAY, AND MR. SCHENK DOES AS WELL, MAYBE WE CAN MAKE A DECISION AS TO THAT SO THAT HE DOESN'T HAVE TO APPEAR TOMORROW.",TR,Holmes,8/31/2022,Criminal,Trial,1.0,"[{'text': 'TODAY', 'score': 0.93, 'start_pos': 100, 'end_pos': 105}, {'text': 'TOMORROW', 'score': 0.951, 'start_pos': 210, 'end_pos': 218}]","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'S-DATE', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'S-DATE']",,,,
" WELL, I DID READ THAT QUESTIONNAIRE AND THAT DID SING OUT TO ME.",UNLABELED,Holmes,8/31/2022,Criminal,Trial,0.0,[],,,,,
I REMEMBER HIS RESPONSE TO THAT  QUESTION.,UNLABELED,Holmes,8/31/2022,Criminal,Trial,0.0,[],,,,,
MR. SCHENK.,UNLABELED,Holmes,8/31/2022,Criminal,Trial,0.0,[],,,,,
  NO OBJECTION.,UNLABELED,Holmes,8/31/2022,Criminal,Trial,0.0,[],,,,,
"  CAN YOU CALL OUT THE NUMBER, HIS JUROR NUMBER?",UNLABELED,Holmes,8/31/2022,Criminal,Trial,0.0,[],,,,,
"  IT'S 163, YOUR HONOR.",UNLABELED,Holmes,8/31/2022,Criminal,Trial,0.0,[],,,,,
  THANK YOU.,UNLABELED,Holmes,8/31/2022,Criminal,Trial,0.0,[],,,,,
THANK YOU.,UNLABELED,Holmes,8/31/2022,Criminal,Trial,0.0,[],,,,,
"THEN WE'LL CONTACT JUROR NUMBER 163 AND OFFER HIM AN EXCUSAL IF HE WISHES, AND WE'LL EXCUSE HIM.",UNLABELED,Holmes,8/31/2022,Criminal,Trial,0.0,[],,,,,
THANK YOU FOR POINTING THAT OUT.,UNLABELED,Holmes,8/31/2022,Criminal,Trial,0.0,[],,,,,
I DID READ THAT AND I WAS  I DID NOTE IT.,UNLABELED,Holmes,8/31/2022,Criminal,Trial,0.0,[],,,,,
THANK YOU.,UNLABELED,Holmes,8/31/2022,Criminal,Trial,0.0,[],,,,,
 THE SECOND ISSUE IS WITH RESPECT TO THE COURT'S REFERENCE TO INDIVIDUAL DISCUSSIONS WITH JURORS.,UNLABELED,Holmes,8/31/2022,Criminal,Trial,0.0,[],,,,,
IN GROUP 1 THERE ARE JURORS WHO THEMSELVES HAVE EXPRESSED A PREFERENCE TO TALK WITH THE COURT INDIVIDUALLY.,TR,Holmes,8/31/2022,Criminal,Trial,0.0,[],,,,,
"IN ADDITION TO THAT, THERE ARE SOME JURORS WHO HAVE BEEN EXPOSED TO PUBLIC DISCUSSION OF THE CASE IN A WAY THAT WE WOULD PREFER QUESTIONING NOT TAKE PLACE IN FRONT OF THE OTHER JURORS.",UNLABELED,Holmes,8/31/2022,Criminal,Trial,0.0,[],,,,,
I CAN IDENTIFY THOSE JUROR NUMBERS AS WE GO ALONG.,UNLABELED,Holmes,8/31/2022,Criminal,Trial,0.0,[],,,,,
WHAT IS THE COURT'S PREFERENCE?,UNLABELED,Holmes,8/31/2022,Criminal,Trial,0.0,[],,,,,
" WELL, THANK YOU.",UNLABELED,Holmes,8/31/2022,Criminal,Trial,0.0,[],,,,,
"I KNOW WE HAD CONVERSATION ABOUT THIS LAST WEEK, AND YOU HAD EXPRESSED YOUR CONCERNS ABOUT THE POTENTIAL OF A PROSPECTIVE JUROR CONTAMINATING, TAINTING THE OTHER JURY PANEL.",TR,Holmes,8/31/2022,Criminal,Trial,1.0,"[{'text': 'LAST WEEK', 'score': 0.75, 'start_pos': 38, 'end_pos': 47}]","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-DATE', 'E-DATE', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",,,,
"I TALK ABOUT THIS IN MY VOIR DIRE, AND I DO INVITE, IF A  JUROR FEELS THAT THEY MIGHT HAVE SOME STRONG OPINIONS THAT MIGHT BE BETTER EXPRESSED PRIVATELY, I CERTAINLY GIVE AN OPPORTUNITY TO DO THAT.",UNLABELED,Holmes,8/31/2022,Criminal,Trial,0.0,[],,,,,
I THINK I SPEAK TWO OR THREE TIMES IN MY VOIR DIRE ABOUT THE ABILITY FOR A PARTY TO SPEAK PRIVATELY WITH THE COURT ABOUT ANY MATTER.,UNLABELED,Holmes,8/31/2022,Criminal,Trial,0.0,[],,,,,
I'LL CERTAINLY RAISE THAT WITH THEM.,UNLABELED,Holmes,8/31/2022,Criminal,Trial,0.0,[],,,,,
"AND BE WATCHFUL FOR THAT IF THERE ARE JURORS WHO FOR WHATEVER REASON ON WHATEVER TOPIC FEEL THAT THEY WANT TO HAVE AN INDIVIDUAL CONVERSATION, WE'LL CERTAINLY PROVIDE THAT OPPORTUNITY FOR THEM THAT IS OUTSIDE OF THE PRESENCE OF THEIR OTHER PROSPECTIVE PANEL MEMBERS.",UNLABELED,Holmes,8/31/2022,Criminal,Trial,0.0,[],,,,,
" I'M SORRY TO INTERRUPT, YOUR HONOR.",UNLABELED,Holmes,8/31/2022,Criminal,Trial,0.0,[],,,,,
(DISCUSSION WITH THE JUDGE AND CLERK OFF THE RECORD.),UNLABELED,Holmes,8/31/2022,Criminal,Trial,0.0,[],,,,,
" SO I WILL, WHEN I'M SPEAKING WITH THE JURORS, I WILL BE MINDFUL I WILL START TO -IF I THINK THE CONVERSATION IS STARTING TO VENTURE SOMEWHERE THAT GETS INTO THAT TERRITORY, I CERTAINLY WILL POLICE THAT, IF YOU WILL.",UNLABELED,Holmes,8/31/2022,Criminal,Trial,0.0,[],,,,,
"AND IF COUNSEL FEEL -I KNOW IT'S A LITTLE AWKWARD TO INTERRUPT A PROSPECTIVE JUROR IN YOUR SEATS, AND YOU DON'T WANT TO BE UNTOWARD TOWARDS THEM, BUT I MAY GLANCE YOUR WAY AND YOU'LL SEND ME A SIGN IF YOU THINK IT'S GOING TOO FAR.",UNLABELED,Holmes,8/31/2022,Criminal,Trial,0.0,[],,,,,
"BUT I DO -WE TALKED ABOUT WHETHER OR NOT WE SHOULD INDIVIDUALLY SPEAK WITH EACH JUROR, AND I EXPRESSED THAT I DIDN'T THINK THAT THAT WAS NECESSARY.",UNLABELED,Holmes,8/31/2022,Criminal,Trial,0.0,[],,,,,
I THOUGHT THAT THE PROTOCOLS THAT WE WERE GOING TO PLACE WOULD BE SUFFICIENT.,UNLABELED,Holmes,8/31/2022,Criminal,Trial,0.0,[],,,,,
"AND LET ME SAY THAT I THINK EVERYONE IS AWARE THAT THERE HAS BEEN SOME RECENT PUBLICITY ABOUT THE CASE, AND I INTEND TO ASK THE JURORS IF THEY HAVE BEEN EXPOSED TO ANY READING, NEWS, ANY PUBLICITY AT ALL SINCE THE TIME THAT THEY HAVE COMPLETED THEIR QUESTIONNAIRES AND TO ASK THEM ABOUT THAT.",UNLABELED,Holmes,8/31/2022,Criminal,Trial,0.0,[],,,,,
SO WE'LL HAVE AN OPPORTUNITY TO PROBE THAT.,UNLABELED,Holmes,8/31/2022,Criminal,Trial,0.0,[],,,,,
"THAT MAY RAISE SOME OF THESE ISSUES, MR. DOWNEY, THAT YOU'RE SPEAKING TO, AND SO WE'LL -ALL OF US WILL PAY ATTENTION TO THAT.",UNLABELED,Holmes,8/31/2022,Criminal,Trial,0.0,[],,,,,
" WELL, I EXPECT THAT WE MAY HAVE THAT ISSUE.",UNLABELED,Holmes,8/31/2022,Criminal,Trial,0.0,[],,,,,
 SOME OF THOSE JURORS THEMSELVES HAVE EXPRESSED THE CONCERN THAT THEY HAVE A BIAS.,UNLABELED,Holmes,8/31/2022,Criminal,Trial,0.0,[],,,,,
"SO I THINK WE KNOW NOW THAT SOME OF THE INFORMATION, IF THEY'RE QUESTIONED ABOUT IT, WILL LEAD TO THE POTENTIAL PROBLEM.",UNLABELED,Holmes,8/31/2022,Criminal,Trial,0.0,[],,,,,
"I JUST REQUEST THAT -OBVIOUSLY WE DISAGREE WITH YOUR HONOR'S INTENDED PROCEDURE, BUT WE UNDERSTAND WHERE YOUR HONOR IS THINKING IS WITH REGARD TO IT.",UNLABELED,Holmes,8/31/2022,Criminal,Trial,0.0,[],,,,,
I WAS JUST WONDERING IF IT WOULD BE HELPFUL TO IDENTIFY THOSE JURORS.,UNLABELED,Holmes,8/31/2022,Criminal,Trial,0.0,[],,,,,
" IF YOU WOULD LIKE TO DO THAT FOR THE RECORD, MR. DOWNEY, YOU MAY.",UNLABELED,Holmes,8/31/2022,Criminal,Trial,0.0,[],,,,,
 YES.,UNLABELED,Holmes,8/31/2022,Criminal,Trial,0.0,[],,,,,
"AND ALSO, AS I SAY, THERE ARE THREE INDIVIDUALS, I BELIEVE ONLY ONE OF WHOM HAVE SAID THAT EITHER THEY HAVE BEEN VICTIMS OR THEIR FAMILY MEMBERS HAVE BEEN VICTIMS IN CRIMES THAT ARE TYPICALLY TREATED SENSITIVELY OR IN ONE CASE AN INDIVIDUAL HAS SAID THAT I WOULD LIKE TO SPEAK TO THE COURT, AND I COULD IDENTIFY THOSE AS WELL.",UNLABELED,Holmes,8/31/2022,Criminal,Trial,0.0,[],,,,,
 IF YOU WOULD LIKE TO.,UNLABELED,Holmes,8/31/2022,Criminal,Trial,0.0,[],,,,,
"I KNOW THAT WHEN I READ THE QUESTIONNAIRES, THERE WERE AT LEAST IN THIS GROUP, THERE MAY HAVE BEEN ONE, MAYBE MORE.",UNLABELED,Holmes,8/31/2022,Criminal,Trial,0.0,[],,,,,
"I KNOW THAT SEVERAL OF OUR PROSPECTIVE JURORS HAVE ASKED TO SPEAK PRIVATELY ABOUT DIFFERENT QUESTIONS, SO I'VE NOTED THAT AS WELL.",UNLABELED,Holmes,8/31/2022,Criminal,Trial,0.0,[],,,,,
" IN THE CATEGORY OF INDIVIDUALS WHO HAVE EITHER MADE THE REQUEST TO SPEAK TO YOUR HONOR INDIVIDUALLY OR THEY RAISED AN ISSUE THAT SEEMS LIKE IT WOULD BE BETTER DISCUSSED IN PRIVATE ARE JURORS 17, 35, AND 62.",TR,Holmes,8/31/2022,Criminal,Trial,0.0,[],,,,,
"I ACTUALLY HAVEN'T TRACKED IT, YOUR HONOR, SO IF ANY OF THOSE ARE A JUROR THAT DID NOT APPEAR TODAY, I DON'T KNOW.",TR,Holmes,8/31/2022,Criminal,Trial,1.0,"[{'text': 'TODAY', 'score': 0.969, 'start_pos': 94, 'end_pos': 99}]","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'S-DATE', 'O', 'O', 'O']",,,,
"AND THE INDIVIDUAL JURORS WHO HAVE INDICATED EXPOSURE TO SUBSTANTIAL MEDIA ARE JURORS NUMBER 1, JUROR NUMBER 14, JUROR NUMBER 31, JUROR NUMBER 49, JUROR NUMBER 57, JUROR NUMBER 63, JUROR NUMBER 64, AND JUROR NUMBER 95.",TR,Holmes,8/31/2022,Criminal,Trial,0.0,[],,,,,
"WE WOULD ASK, YOUR HONOR, WITH RESPECT TO ALL OF THOSE JURORS THAT THEY BE QUESTIONED INDIVIDUALLY.",UNLABELED,Holmes,8/31/2022,Criminal,Trial,0.0,[],,,,,
"IT IS, IN OUR VIEW, THE PROPER PROCEDURE UNDER THE SILVERTHORNE CASE.",UNLABELED,Holmes,8/31/2022,Criminal,Trial,0.0,[],,,,,
"YOUR HONOR HAS PREVIOUSLY GIVEN HIS REASONS FOR NOT DOING IT, AND WE UNDERSTAND IT, BUT WE WOULD MAKE THAT REQUEST.",UNLABELED,Holmes,8/31/2022,Criminal,Trial,0.0,[],,,,,
 MR. SCHENK?,UNLABELED,Holmes,8/31/2022,Criminal,Trial,0.0,[],,,,,
" YOUR HONOR, NOTHING FURTHER ON THAT TOPIC.",UNLABELED,Holmes,8/31/2022,Criminal,Trial,0.0,[],,,,,
"I DO HAVE TWO SEPARATE QUESTIONS, BUT I'LL DEFER TO THE COURT.",UNLABELED,Holmes,8/31/2022,Criminal,Trial,0.0,[],,,,,
 ARE THERE SPECIFIC QUESTIONS THAT YOU BELIEVE SHOULD BE ADVANCED INDIVIDUALLY?,UNLABELED,Holmes,8/31/2022,Criminal,Trial,0.0,[],,,,,
 AS TO THOSE JURORS?,UNLABELED,Holmes,8/31/2022,Criminal,Trial,0.0,[],,,,,
 YES.,UNLABELED,Holmes,8/31/2022,Criminal,Trial,0.0,[],,,,,
" I THINK WITH RESPECT TO THE CRIME VICTIMS, I CAN SAY THAT ONE OF THOSE VICTIMS -ONE OF THOSE INDIVIDUALS REPORTS HAVING A FAMILY MEMBER WHO WAS A VICTIM OF A SEXUAL ASSAULT.",UNLABELED,Holmes,8/31/2022,Criminal,Trial,0.0,[],,,,,
THAT'S JUROR NUMBER 35.,UNLABELED,Holmes,8/31/2022,Criminal,Trial,0.0,[],,,,,
"ONE OF THOSE JURORS THEMSELVES WAS A VICTIM OF DOMESTIC VIOLENCE, THAT'S 17.",TR,Holmes,8/31/2022,Criminal,Trial,0.0,[],,,,,
"AND JUROR NUMBER 62 REPORTS BEING A CRIME VICTIM IN A DIFFERENT CONTEXT AND HAS ASKED TO SPEAK TO YOUR HONOR, BUT THAT JUROR I BELIEVE IS A FAILURE TO APPEAR TODAY.",TR,Holmes,8/31/2022,Criminal,Trial,1.0,"[{'text': 'TODAY', 'score': 0.933, 'start_pos': 158, 'end_pos': 163}]","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'S-DATE']",,,,
"WITH RESPECT TO THE MEDIA, IT'S HARD TO GENERALIZE THE QUESTION, BUT CERTAINLY WHAT WE WANT TO AVOID IN FRONT OF THE JURY IS ANY DISCUSSION OF WHAT THEY'VE LEARNED AND THEIR REACTIONS TO WHAT THEY'VE LEARNED, WHICH WOULD BE THE TYPICAL INQUIRY AS TO BIAS ON ANY ISSUE.",UNLABELED,Holmes,8/31/2022,Criminal,Trial,0.0,[],,,,,
"SO IN EFFECT, I THINK WE'RE IMPEDED IN MAKING THE NORMAL INQUIRY INTO BIAS ISSUES BECAUSE OF THE CONCERN THAT IT WILL AFFECT THE POOL.",UNLABELED,Holmes,8/31/2022,Criminal,Trial,0.0,[],,,,,
" THIS IS, AS YOU KNOW, A QUESTION THAT COMES UP IN EVERY TRIAL.",UNLABELED,Holmes,8/31/2022,Criminal,Trial,0.0,[],,,,,
THERE MIGHT BE -THE CONCERN AS TO WHETHER ONE RESPONDS MIGHT HAVE A NEGATIVE IMPACT ON A FELLOW PROSPECTIVE JUROR'S ABILITY TO BE FAIR AND IMPARTIAL AND WHETHER IT WILL CHANGE THEIR THOUGHTS IN SOME WAY.,UNLABELED,Holmes,8/31/2022,Criminal,Trial,0.0,[],,,,,
I RECOGNIZE THAT.,UNLABELED,Holmes,8/31/2022,Criminal,Trial,0.0,[],,,,,
" AND IS IT QUESTIONS 36 THROUGH 42 PERHAPS, THAT RANGE?",UNLABELED,Holmes,8/31/2022,Criminal,Trial,0.0,[],,,,,
I THINK IT ASKS THESE MEDIA TYPE QUESTIONS.,UNLABELED,Holmes,8/31/2022,Criminal,Trial,0.0,[],,,,,
QUESTION 39 IS THE ONE THAT IS PERHAPS MORE INFORMATIVE ON THIS ISSUE.,UNLABELED,Holmes,8/31/2022,Criminal,Trial,0.0,[],,,,,
"IT ASKED WHETHER OR NOT AS A RESULT OF ANYTHING THAT THEY HAVE READ, LISTENED TO, SEEN, OR HEARD OF, WHETHER OR NOT THAT WILL -I'M PARAPHRASING -WILL IMPAIR THEIR ABILITY TO BE FAIR AND IMPARTIAL.",UNLABELED,Holmes,8/31/2022,Criminal,Trial,0.0,[],,,,,
THAT'S THE QUESTION THAT I THINK WE LOOK AT.,UNLABELED,Holmes,8/31/2022,Criminal,Trial,0.0,[],,,,,
IN SOME OF THESE RESPONSES TO SOME OF THE PROSPECTIVE JURORS THEY HAVE INDICATED THAT IT MAY AND THEY STATE THE REASONS.,UNLABELED,Holmes,8/31/2022,Criminal,Trial,0.0,[],,,,,
OTHERS HAVE SAID NO WITH A CHECK BOX.,UNLABELED,Holmes,8/31/2022,Criminal,Trial,0.0,[],,,,,
"SO THAT'S PROBABLY AN AREA OF PROBING, MAYBE, THAT YOU'RE SPEAKING TO IN THAT CATEGORY OF QUESTIONS.",UNLABELED,Holmes,8/31/2022,Criminal,Trial,0.0,[],,,,,
I THINK THAT'S.,UNLABELED,Holmes,8/31/2022,Criminal,Trial,0.0,[],,,,,
" I THINK IT'S A PERFECT EXAMPLE, YOUR HONOR.",UNLABELED,Holmes,8/31/2022,Criminal,Trial,0.0,[],,,,,
"AS YOUR HONOR SAYS, QUESTION 39 ASKS ALL OF THE JURORS IF THEY ARE LIMITED IN THEIR ABILITY TO BE IMPARTIAL, UNBIASSED, AND OBJECTIVE.",UNLABELED,Holmes,8/31/2022,Criminal,Trial,0.0,[],,,,,
 WHEN THEY ARE ASKED THE QUESTION WHY IS THAT?,UNLABELED,Holmes,8/31/2022,Criminal,Trial,0.0,[],,,,,
MANY JURORS WILL BEGIN TO TALK ABOUT WHAT THEIR EXPERIENCE OF WATCHING OR READING THAT MEDIA HAS BEEN.,UNLABELED,Holmes,8/31/2022,Criminal,Trial,0.0,[],,,,,
" AND I THINK YOUR CONCERN -PARDON ME FOR INTERRUPTING YOU -BUT YOUR CONCERN MIGHT BE THAT THEY REPEAT, WROTE WHAT THEY'VE HEARD, WHAT THEY'VE SEEN, IF ANYTHING, THOSE TYPES OF THINGS AS OPPOSED TO SAYING I SAW SOMETHING THAT AFFECTED ME, I SAW A RED -I HEARD SOMETHING THAT AFFECTED ME, AND IT MADE ME -CAUSED ME TO THINK JUST WHAT I HEARD WITHOUT IDENTIFYING OR QUOTING, I SUPPOSE, FROM THE MATERIAL.",UNLABELED,Holmes,8/31/2022,Criminal,Trial,0.0,[],,,,,
I GUESS THAT'S WHAT I'M TALKING ABOUT.,UNLABELED,Holmes,8/31/2022,Criminal,Trial,0.0,[],,,,,
I DON'T THINK WE NEED TO PROBE THE EXACT QUOTE.,UNLABELED,Holmes,8/31/2022,Criminal,Trial,0.0,[],,,,,
"WE DON'T NEED SOMEONE TO COME AND GIVE US A REPORT ABOUT WHAT THEY'VE READ, WHAT THEY'VE SEEN.",UNLABELED,Holmes,8/31/2022,Criminal,Trial,0.0,[],,,,,
" WELL, YOUR HONOR -I'M SORRY.",UNLABELED,Holmes,8/31/2022,Criminal,Trial,0.0,[],,,,,
" NO, NO.",UNLABELED,Holmes,8/31/2022,Criminal,Trial,0.0,[],,,,,
GO AHEAD.,UNLABELED,Holmes,8/31/2022,Criminal,Trial,0.0,[],,,,,
" I THINK THE QUESTION IS SIMPLY WHY, WHY DO YOU FEEL THAT YOU MIGHT NOT BE IMPARTIAL?",UNLABELED,Holmes,8/31/2022,Criminal,Trial,0.0,[],,,,,
WE DON'T KNOW WHAT A JUROR WILL SAY IN RESPONSE TO THAT.,UNLABELED,Holmes,8/31/2022,Criminal,Trial,0.0,[],,,,,
 WE DON'T.,UNLABELED,Holmes,8/31/2022,Criminal,Trial,0.0,[],,,,,
THEY MAY SAY BECAUSE I BELIEVE EVERYTHING THAT I SEE ON TELEVISION.,UNLABELED,Holmes,8/31/2022,Criminal,Trial,0.0,[],,,,,
"WE JUST DON'T KNOW, YOU'RE RIGHT.",UNLABELED,Holmes,8/31/2022,Criminal,Trial,0.0,[],,,,,
I APPRECIATE THE CONCERN THAT YOU HAVE.,UNLABELED,Holmes,8/31/2022,Criminal,Trial,0.0,[],,,,,
IT'S NOT LOST ON ME.,UNLABELED,Holmes,8/31/2022,Criminal,Trial,0.0,[],,,,,
I'M NOT SAYING THAT WE WON'T DO INDIVIDUAL QUESTIONING.,UNLABELED,Holmes,8/31/2022,Criminal,Trial,0.0,[],,,,,
IT MAY BE A TIME WHEN -A TIME WILL COME BASED ON THEIR RESPONSES THAT THAT WOULD BE APPROPRIATE.,UNLABELED,Holmes,8/31/2022,Criminal,Trial,0.0,[],,,,,
"I GUESS WHAT I'M SAYING IS I WILL BE MINDFUL OF THAT, SIR, AND WE'LL DO THE BEST THAT WE CAN.",UNLABELED,Holmes,8/31/2022,Criminal,Trial,0.0,[],,,,,
 I APPRECIATE THAT YOUR HONOR HAS CONSIDERED THE ISSUE EXTENSIVELY.,UNLABELED,Holmes,8/31/2022,Criminal,Trial,0.0,[],,,,,
"I BELIEVE THIS IS THE THIRD OR FOURTH DISCUSSION THAT WE HAVE HAD ABOUT IT, AND I JUST WANTED TO NOTE FOR THE RECORD OUR POSITION.",UNLABELED,Holmes,8/31/2022,Criminal,Trial,0.0,[],,,,,
 OF COURSE.,UNLABELED,Holmes,8/31/2022,Criminal,Trial,0.0,[],,,,,
MR. SCHENK?,UNLABELED,Holmes,8/31/2022,Criminal,Trial,0.0,[],,,,,
" YOUR HONOR, I'M WONDERING WHAT THE LAST JUROR NUMBER IS THAT WE'LL DEAL WITH TODAY.",TR,Holmes,8/31/2022,Criminal,Trial,1.0,"[{'text': 'TODAY', 'score': 0.981, 'start_pos': 78, 'end_pos': 83}]","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'S-DATE']",,,,
"SOME OF THE JURORS THAT MR. DOWNEY READ OFF TO THE COURT TODAY WENT UP INTO THE 90'S, AND I JUST WANT TO KNOW.",TST,Holmes,8/31/2022,Criminal,Trial,1.0,"[{'text': 'TODAY', 'score': 0.918, 'start_pos': 57, 'end_pos': 62}]","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'S-DATE', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'S-DATE', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","SOME OF THE JURORS THAT MR. DOWNEY READ OFF TO THE COURT xxxTODAYxxx WENT UP INTO THE 90'S, AND I JUST WANT TO KNOW.",EJG,
 LET'S SEE.,UNLABELED,Holmes,8/31/2022,Criminal,Trial,0.0,[],,,,,
I THINK THE LAST JUROR THAT I HAD TODAY WAS 95.,UNLABELED,Holmes,8/31/2022,Criminal,Trial,0.0,[],,,,,
"IS THAT CORRECT, MS. KRATZMANN?",UNLABELED,Holmes,8/31/2022,Criminal,Trial,0.0,[],,,,,
 JUROR NUMBER 93.,UNLABELED,Holmes,8/31/2022,Criminal,Trial,0.0,[],,,,,
" NOW, MS. KRATZMANN HANDED ME A NOTE WHILE WE WERE TALKING, AND JUROR NUMBER 214 IS DOWNSTAIRS NOW.",UNLABELED,Holmes,8/31/2022,Criminal,Trial,0.0,[],,,,,
"SHE CAME TO OUR COMMISSIONER AND APPARENTLY IS SCHEDULED FOR TOMORROW, AND SHE APPARENTLY HAS BROUGHT TO THE COURT PROOF OF THAT.",TST,Holmes,8/31/2022,Criminal,Trial,1.0,"[{'text': 'TOMORROW', 'score': 0.99, 'start_pos': 61, 'end_pos': 69}]","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'S-DATE', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'S-DATE', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","SHE CAME TO OUR COMMISSIONER AND APPARENTLY IS SCHEDULED FOR xxxTOMORROWxxx, AND SHE APPARENTLY HAS BROUGHT TO THE COURT PROOF OF THAT.",EJG,
SHOULD WE EXCUSE JUROR 214.,UNLABELED,Holmes,8/31/2022,Criminal,Trial,0.0,[],,,,,
" IF THE COURT HAS REVIEWED IT AND HAS PROOF, WE HAVE NO OBJECTION.",UNLABELED,Holmes,8/31/2022,Criminal,Trial,0.0,[],,,,,
 I HAVE NOT READ IT.,UNLABELED,Holmes,8/31/2022,Criminal,Trial,0.0,[],,,,,
 I'M CERTAIN WE WILL IF WE CAN JUST TAKE A LOOK.,UNLABELED,Holmes,8/31/2022,Criminal,Trial,0.0,[],,,,,
 SURE.,UNLABELED,Holmes,8/31/2022,Criminal,Trial,0.0,[],,,,,
"MS. KRATZMANN, CAN YOU HAVE THAT PROOF BROUGHT UP.",UNLABELED,Holmes,8/31/2022,Criminal,Trial,0.0,[],,,,,
" YES, YOUR HONOR.",UNLABELED,Holmes,8/31/2022,Criminal,Trial,0.0,[],,,,,
 MR. SCHENK.,UNLABELED,Holmes,8/31/2022,Criminal,Trial,0.0,[],,,,,
" THIS JUROR MENTIONED THE SURGERY IN THE QUESTIONNAIRE, AND IT WAS THE THIRD JURY, AND SO IT MUST HAVE BEEN MOVED UP AND WE HAVE NO OBJECTION.",UNLABELED,Holmes,8/31/2022,Criminal,Trial,0.0,[],,,,,
" SHOULD WE WAIT TO BRING THIS UP, MR. DOWNEY?",UNLABELED,Holmes,8/31/2022,Criminal,Trial,0.0,[],,,,,
DO YOU WANT TO SEE THE -WHATEVER SHE BROUGHT?,UNLABELED,Holmes,8/31/2022,Criminal,Trial,0.0,[],,,,,
" I THINK IT'S FINE TO EXCUSE HER, YOUR HONOR.",UNLABELED,Holmes,8/31/2022,Criminal,Trial,0.0,[],,,,,
 OKAY.,UNLABELED,Holmes,8/31/2022,Criminal,Trial,0.0,[],,,,,
WE WILL EXCUSE HER.,UNLABELED,Holmes,8/31/2022,Criminal,Trial,0.0,[],,,,,
THANK YOU.,UNLABELED,Holmes,8/31/2022,Criminal,Trial,0.0,[],,,,,
THANK YOU BOTH.,UNLABELED,Holmes,8/31/2022,Criminal,Trial,0.0,[],,,,,
214 IS EXCUSED FOR MEDICAL.,UNLABELED,Holmes,8/31/2022,Criminal,Trial,0.0,[],,,,,
" YOUR HONOR, YES.",UNLABELED,Holmes,8/31/2022,Criminal,Trial,0.0,[],,,,,
WE GO UP TO 95 TODAY.,UNLABELED,Holmes,8/31/2022,Criminal,Trial,0.0,[],,,,,
 RIGHT.,UNLABELED,Holmes,8/31/2022,Criminal,Trial,0.0,[],,,,,
" YOUR HONOR, JUST ONE ADDITIONAL QUESTION ABOUT A JUROR.",UNLABELED,Holmes,8/31/2022,Criminal,Trial,0.0,[],,,,,
 SURE.,UNLABELED,Holmes,8/31/2022,Criminal,Trial,0.0,[],,,,,
